,company,id,year,net_sales,op_profit_ebit,prof_after_net_fin_items,results,fixed_assets,current_assets,lt_liabilities,curr_liabilities,revenue,num_employes,op_prof_ebitda,prof_margin,gross_prof,quick_ratio,default,actual_status,date,Blanks
3920,AJ Betongh̴ltagning AB,5566783642,2012,17188,1541,1392,686,2408,4240,1326,2608,17865,19,1839,0.0897,0.7529,1.2377,0,Active,2012-12-31,0
3921,AJ Betongh̴ltagning AB,5566783642,2011,12289,344,243,131,2033,2499,1412,1439,12434,16,608,0.0279999999999999,0.8303,1.1536,0,Active,2011-12-31,0
3922,AJ Betongh̴ltagning AB,5566783642,2010,17866,-463,-561,70,2384,4015,1292,3603,18307,20,-77,-1.0,0.8399,0.9573,0,Active,2010-12-31,0
3923,AJ El & Industriservice i Șderhamn AB,5567568679,2019,9048,-132,-143,1,2871,1516,236,1915,9048,7,87,-1.0,0.6209,0.7916,0,Active,2019-12-31,0
3924,AJ El & Industriservice i Șderhamn AB,5567568679,2018,9406,1813,1800,1239,2570,4003,287,1296,9406,7,2001,0.192699999999999,0.596,2.8989,0,Active,2018-12-31,0
3925,AJ El & Industriservice i Șderhamn AB,5567568679,2017,10274,1615,1603,1198,2538,2466,382,1066,10339,6,1820,0.1572,0.5792,2.3133,0,Active,2017-12-31,0
3926,AJ El & Industriservice i Șderhamn AB,5567568679,2016,6955,85,64,43,2463,1488,707,946,7080,6,307,0.0121999999999999,0.6319,1.5729,0,Active,2016-12-31,0
3927,AJ El & Industriservice i Șderhamn AB,5567568679,2015,10259,746,719,728,2347,2358,566,1285,10336,10,1058,0.0728,0.6048,1.7572,0,Active,2015-12-31,0
3928,AJ El & Industriservice i Șderhamn AB,5567568679,2014,10582,1204,1182,928,2214,2074,618,1324,10676,11,1503,0.114,0.6572,1.4894,0,Active,2014-12-31,0
3929,AJ El & Industriservice i Șderhamn AB,5567568679,2013,10595,856,855,457,1534,1545,309,1340,10776,11,1155,0.0821,0.5602,1.0582,0,Active,2013-12-31,0
3930,AJ El & Industriservice i Șderhamn AB,5567568679,2012,7704,1243,1226,887,1015,2216,340,1400,7769,7,1471,0.162,0.6664,1.44,0,Active,2012-12-31,0
3931,AJ El & Industriservice i Șderhamn AB,5567568679,2011,5928,619,591,443,739,1051,386,801,5928,5,748,0.1046,0.589399999999999,1.3121,0,Active,2011-12-31,0
3932,AJ El & Industriservice i Șderhamn AB,5567568679,2010,3200,-24,-36,-36,415,776,515,515,3206,4,20,-1.0,0.6281,1.5068,0,Active,2010-12-31,0
3933,AJ Magnusson & Lyckman Bygg AB,5567837363,2019,16753,62,29,17,56,1037,312,663,16822,6,90,0.0037,0.2691,1.5641,0,Active,2019-12-31,0
3934,AJ Magnusson & Lyckman Bygg AB,5567837363,2018,7674,548,489,489,33,1718,347,1304,7674,6,583,0.0713999999999999,0.536899999999999,1.3175,0,Active,2018-12-31,0
3935,AJ Magnusson & Lyckman Bygg AB,5567837363,2017,5947,108,69,69,69,1180,573,1065,6559,7,143,0.0182,0.5083,1.10799999999999,0,Active,2017-12-31,0
3936,AJ Magnusson & Lyckman Bygg AB,5567837363,2016,6953,49,-1,-1,402,1102,1113,850,6971,7,246,0.00699999999999999,0.5507,1.2965,0,Active,2016-12-31,0
3937,AJ Magnusson & Lyckman Bygg AB,5567837363,2015,13019,422,367,367,614,2127,1189,2011,13098,7,676,0.0326,0.3678,1.05769999999999,0,Active,2015-12-31,0
3938,AJ Magnusson & Lyckman Bygg AB,5567837363,2014,8598,-1076,-1127,-1127,824,835,1174,1309,8598,7,-825,-1.0,0.4559,0.6379,0,Active,2014-12-31,0
3939,AJ Magnusson & Lyckman Bygg AB,5567837363,2013,5839,104,97,59,146,1143,0,987,5860,5,169,0.0178,0.455,0.6768,0,Active,2013-12-31,0
3940,AJ Magnusson & Lyckman Bygg AB,5567837363,2012,7594,194,192,131,211,1100,0,1067,7616,5,259,0.0255,0.4704,1.0309,0,Active,2012-12-31,0
3941,AJ Magnusson & Lyckman Bygg AB,5567837363,2011,5976,97,94,63,197,778,0,742,5996,5,146,0.0162,0.5126,1.0485,0,Active,2011-12-31,0
3942,AJ Magnusson & Lyckman Bygg AB,5567837363,2010,1547,100,100,70,0,644,0,474,1547,1,100,0.0646,0.2237,1.3586,0,Active,2010-12-31,0
3943,AJ Mur & Puts AB,5590595640,2019,5583,-415,-465,-318,197,1532,407,1271,5605,5,-368,-1.0,0.6088,1.2054,0,Active,2019-12-31,0
3944,AJ Mur & Puts AB,5590595640,2018,11413,-59,-84,-35,244,2830,436,2122,11446,6,-20,-1.0,0.3935,1.3129,0,Active,2018-12-31,0
3945,AJ Mur & Puts AB,5590595640,2017,9513,245,213,100,179,2366,0,1945,9567,6,249,0.0258,0.4625,1.1938,0,Active,2017-12-31,0
3946,AJ Mur & Puts AB,5590595640,2016,5652,449,447,254,50,2985,0,2615,5652,4,449,0.0794,0.3868,1.1415,0,Active,2016-12-31,0
3947,AJ Nord Entreprenad AB,5568421860,2019,53573,6500,6083,1159,17196,11512,14528,6964,53580,22,8562,0.1215,0.6023,1.56979999999999,0,Active,2019-12-31,0
3948,AJ Nord Entreprenad AB,5568421860,2018,39040,-758,-940,37,9498,7299,9720,5606,39354,24,538,-1.0,0.6028,0.8239,0,Active,2018-12-31,0
3949,AJ Nord Entreprenad AB,5568421860,2017,30054,1621,1456,807,4406,7039,2993,6417,30470,24,2424,0.0538999999999999,0.5878,0.800199999999999,0,Active,2017-12-31,0
3950,AJ Nord Entreprenad AB,5568421860,2016,22032,610,462,3,3960,4005,3516,3633,22111,20,1310,0.0277,0.674099999999999,0.8208,0,Active,2016-12-31,0
3951,AJ Nord Entreprenad AB,5568421860,2015,20432,-375,-557,50,5203,4743,4550,5033,20432,21,470,-1.0,0.6544,0.8216,0,Active,2015-12-31,0
3952,AJ Nord Entreprenad AB,5568421860,2014,13556,344,133,103,5986,2309,5287,2070,13656,17,1004,0.0254,0.8652,0.9155,0,Active,2014-12-31,0
3953,AJ Nord Entreprenad AB,5568421860,2013,15157,428,268,5,3288,3194,3388,2259,15157,19,799,0.0282,0.7445,1.32009999999999,0,Active,2013-12-31,0
3954,AJ Nord Entreprenad AB,5568421860,2012,11448,198,119,10,1966,2106,1979,1524,11448,14,518,0.0178,0.707,1.252,0,Active,2012-12-31,0
3955,AJ Nord Entreprenad AB,5568421860,2011,5448,468,460,144,885,1855,938,1344,5448,9,490,0.0859,0.828199999999999,1.3118,0,Active,2011-12-31,0
3956,AJAB Brand AB,5567693931,2019,17857,2942,2940,2280,244,4398,0,2212,17857,13,2946,0.1648,0.6834,1.9882,0,Active,2019-12-31,0
3957,AJAB Brand AB,5567693931,2018,10969,1617,1617,1239,208,3131,0,1839,10969,11,1621,0.1475,0.8229,1.7026,0,Active,2018-12-31,0
3958,AJAB Brand AB,5567693931,2017,8530,1204,1202,933,258,2360,0,1358,8847,10,1215,0.1451,0.814,1.7378,0,Active,2017-12-31,0
3959,AJAB Brand AB,5567693931,2016,6124,370,332,247,481,1377,0,781,6124,6,383,0.0604,0.8076,1.7631,0,Active,2016-12-31,0
3960,AJAB Brand AB,5567693931,2015,5719,802,793,614,468,1425,0,762,5719,6,815,0.1402,0.8262,1.87009999999999,0,Active,2015-12-31,0
3961,AJAB Brand AB,5567693931,2014,5526,521,509,472,421,1534,0,1138,5526,6,539,0.0946,0.7709,1.348,0,Active,2014-12-31,0
3962,AJAB Brand AB,5567693931,2013,4990,399,387,205,441,1349,0,1042,4990,7,427,0.08,0.8559,1.2946,0,Active,2013-12-31,0
3963,AJAB Brand AB,5567693931,2012,6340,940,942,695,362,1366,0,888,6340,6,953,0.1489,0.8057,1.5383,0,Active,2012-12-31,0
3964,AJAB Brand AB,5567693931,2011,3691,501,499,364,69,1497,0,920,3691,4,511,0.1357,0.8331,1.6272,0,Active,2011-12-31,0
3965,AJAB Brand AB,5567693931,2010,2964,433,429,302,36,870,0,504,2964,3,446,0.1461,0.834,1.7262,0,Active,2010-12-31,0
3966,AJN Bygg AB,5568044886,2019,46411,1461,1360,778,2673,13673,1462,7566,46879,11,2126,0.0315,0.2695,1.8072,0,Active,2019-12-31,0
3967,AJN Bygg AB,5568044886,2018,38246,773,688,330,2694,12885,1387,7693,38609,11,1332,0.0203,0.3016,1.6749,0,Active,2018-12-31,0
3968,AJN Bygg AB,5568044886,2017,53961,3451,3385,1797,2894,12668,1577,7640,54871,12,3813,0.064,0.2688,1.6581,0,Active,2017-12-31,0
3969,AJN Bygg AB,5568044886,2016,34560,812,757,319,1262,9894,1233,6412,35446,11,1014,0.0235,0.2728,1.543,0,Active,2016-12-31,0
3970,AJN Bygg AB,5568044886,2015,32190,1857,1800,1046,655,12199,613,9380,32657,10,2087,0.0576999999999999,0.2506,1.3005,0,Active,2015-12-31,0
3971,AJN Bygg AB,5568044886,2014,16050,1107,1050,438,735,4273,835,2808,16704,7,1261,0.069,0.6887,1.52169999999999,0,Active,2014-12-31,0
3972,AJN Bygg AB,5568044886,2013,13796,358,295,151,1502,2345,337,3008,14130,6,466,0.0259,0.6892,0.7796,0,Active,2013-12-31,0
3973,AJN Bygg AB,5568044886,2012,10699,77,49,24,1291,2118,0,3139,10978,6,157,0.0072,0.7301,0.6747,0,Active,2012-12-31,0
3974,AJN Bygg AB,5568044886,2011,16078,367,353,246,1001,1668,600,1722,16290,7,397,0.0227999999999999,0.6873,0.9686,0,Active,2011-12-31,0
3975,AJS M̴leri AB,5563762979,2019,24321,188,174,118,363,4392,0,4113,24522,20,271,0.0077,0.741599999999999,1.0678,0,Active,2019-12-31,0
3976,AJS M̴leri AB,5563762979,2018,29071,2255,2247,1724,426,6171,0,4372,29213,21,2358,0.0776,0.6993,1.4115,0,Active,2018-12-31,0
3977,AJS M̴leri AB,5563762979,2017,29930,2990,2981,2311,372,6356,0,3927,30019,20,3008,0.0999,0.6555,1.6185,0,Active,2017-12-31,0
3978,AJS M̴leri AB,5563762979,2016,21334,214,208,265,24,3771,0,2966,21334,18,220,0.01,0.7302,1.21709999999999,0,Active,2016-12-31,0
3979,AJS M̴leri AB,5563762979,2015,23042,1303,1285,1028,0,3906,0,2888,23042,18,1307,0.0567999999999999,0.8934,1.3525,0,Active,2015-12-31,0
3980,AJS M̴leri AB,5563762979,2014,16681,-1044,-1054,-786,4,3329,16,3482,16681,18,-1028,-1.0,0.8609,0.9561,0,Active,2014-12-31,0
3981,AJS M̴leri AB,5563762979,2013,17774,30,31,71,19,3170,0,2300,17774,18,46,0.0018,0.9029,1.3783,0,Active,2013-12-31,0
3982,AJS M̴leri AB,5563762979,2012,20550,67,70,33,35,3412,0,2524,20550,20,88,0.0034,0.872699999999999,1.3518,0,Active,2012-12-31,0
3983,AJS M̴leri AB,5563762979,2011,12893,39,29,7,56,2449,0,1615,12893,19,66,0.003,0.849,1.5164,0,Active,2011-12-31,0
3984,AJS M̴leri AB,5563762979,2010,15003,543,517,371,83,2900,0,1800,15003,19,566,0.0363,0.888,1.6111,0,Active,2010-12-31,0
3985,AK Glas och Bygg AB,5568109689,2019,9159,277,232,127,133,1992,179,1343,9287,6,307,0.0306,0.4815,1.35819999999999,0,Active,2019-12-31,0
3986,AK Glas och Bygg AB,5568109689,2018,8505,93,50,28,112,1792,88,1401,8659,6,116,0.0111,0.4783,1.1592,0,Active,2018-12-31,0
3987,AK Glas och Bygg AB,5568109689,2017,8071,166,125,75,111,1742,163,1227,8191,6,184,0.0209,0.4939,1.3333,0,Active,2017-12-31,0
3988,AK Glas och Bygg AB,5568109689,2016,7266,-15,-30,37,129,1383,284,839,7387,6,4,-1.0,0.5268,1.41479999999999,0,Active,2016-12-31,0
3989,AK Glas och Bygg AB,5568109689,2015,8503,528,520,271,8,1550,0,874,8623,6,560,0.0624,0.5031,1.5835,0,Active,2015-12-31,0
3990,AK Glas och Bygg AB,5568109689,2014,7387,364,363,181,39,1262,24,757,7498,6,397,0.0495,0.544099999999999,1.4254,0,Active,2014-12-31,0
3991,AK Glas och Bygg AB,5568109689,2013,7276,578,555,287,72,1185,46,702,7276,6,611,0.0794,0.5554,1.3718,0,Active,2013-12-31,0
3992,AK Glas och Bygg AB,5568109689,2012,6333,117,103,117,105,686,69,615,6333,6,150,0.0187999999999999,0.5356,0.8764,0,Active,2012-12-31,0
3993,AK Glas och Bygg AB,5568109689,2011,6765,193,196,146,138,931,91,849,6765,6,218,0.0305,0.5168,0.8351,0,Active,2011-12-31,0
3994,AK Glas och Bygg AB,5568109689,2010,432,16,16,4,71,642,0,648,432,1,17,0.037,0.6644,0.8025,0,Active,2010-12-31,0
3995,AK Riv & Sanering Aktiebolag,5566750773,2019,38977,1569,1564,1306,1195,8293,0,5405,39155,33,1723,0.0405,0.655999999999999,1.5343,0,Active,2019-12-31,0
3996,AK Riv & Sanering Aktiebolag,5566750773,2018,39713,3880,3869,2883,962,8111,0,4500,39762,33,4071,0.0978,0.655999999999999,1.8024,0,Active,2018-12-31,0
3997,AK Riv & Sanering Aktiebolag,5566750773,2017,33580,1825,1804,1333,753,7616,0,5545,33715,33,2049,0.0542999999999999,0.748499999999999,1.3735,0,Active,2017-12-31,0
3998,AK Riv & Sanering Aktiebolag,5566750773,2016,32082,1661,1643,1292,1524,6654,6,5146,32388,35,1886,0.0518,0.7836,1.293,0,Active,2016-12-31,0
3999,AK Riv & Sanering Aktiebolag,5566750773,2015,27855,509,495,1582,2869,4950,0,4054,27868,35,666,0.0185,0.8519,1.22099999999999,0,Active,2015-12-31,0
4000,AK Riv & Sanering Aktiebolag,5566750773,2014,29813,-587,-615,1,2416,6181,138,4727,29818,35,-326,-1.0,0.7863,1.30759999999999,0,Active,2014-12-31,0
4001,AK Riv & Sanering Aktiebolag,5566750773,2013,34216,2974,2952,417,1828,8750,346,5693,34219,34,3102,0.0868999999999999,0.7701,1.537,0,Active,2013-12-31,0
4002,AK Riv & Sanering Aktiebolag,5566750773,2012,27434,879,881,247,2312,7373,0,5456,27494,33,928,0.0326,0.7582,1.3514,0,Active,2012-12-31,0
4003,AK Riv & Sanering Aktiebolag,5566750773,2011,24275,3047,3019,1923,3436,6109,0,4324,25292,30,3050,0.1259,0.7989,1.4128,0,Active,2011-12-31,0
4004,AK Riv & Sanering Aktiebolag,5566750773,2010,21520,1511,1465,800,2428,6402,537,5361,21598,30,2180,0.0704,0.8146,1.1821,0,Active,2010-12-31,0
4005,AK Schakt o Entreprenad AB,5567775282,2019,120527,5358,5035,1224,27779,28039,14363,26808,121301,23,10974,0.0446,0.2134,1.0459,0,Active,2019-12-31,0
4006,AK Schakt o Entreprenad AB,5567775282,2018,85058,4640,4291,380,19684,17105,7671,19135,85709,20,9520,0.0549,0.276999999999999,0.8939,0,Active,2018-12-31,0
4007,AK Schakt o Entreprenad AB,5567775282,2017,67239,-323,-759,757,20382,11010,8676,16451,67432,14,3262,-1.0,0.1994,0.6693,0,Active,2017-12-31,0
4008,AK Schakt o Entreprenad AB,5567775282,2016,54311,820,432,328,22592,10522,11854,13652,54508,14,4261,0.0154,0.2934,0.770699999999999,0,Active,2016-12-31,0
4009,AK Schakt o Entreprenad AB,5567775282,2015,47494,3373,2948,795,18098,6383,11977,5224,48035,14,6048,0.071,0.3711,1.2219,0,Active,2015-12-31,0
4010,AK Schakt o Entreprenad AB,5567775282,2014,36921,7,-442,46,15140,5140,10645,4999,36922,14,2340,0.0003,1.0,1.0282,0,Active,2014-12-31,0
4011,AK Schakt o Entreprenad AB,5567775282,2013,52163,3172,2577,412,10939,9536,8431,6955,52186,18,4868,0.0612,1.0,1.3711,0,Active,2013-12-31,0
4012,AK Schakt o Entreprenad AB,5567775282,2012,38374,1817,906,141,11992,7144,8973,7486,38587,18,3449,0.0475,1.0,0.9543,0,Active,2012-12-31,0
4013,AK Schakt o Entreprenad AB,5567775282,2011,40417,1507,989,132,13688,5280,12226,4907,40417,18,3145,0.0373,1.0,1.07599999999999,0,Active,2011-12-31,0
